sample_id,record_key,title,year,author_decision,author_rationale,review_basis_used,source_locator,decision_owner,decision_date,ai_assistance,decision_status,claim_permission
RS-FC-002,doi:10.2139/ssrn.4080050,Data Justice in Practice: A Guide for Policymakers,2022,exclude-single-component,"The guide organizes data-justice duties across a policy lifecycle, but it does not assess practical human control, incident reconstruction, or claim-level evidence adjudication.",title_abstract_and_full_text_route,https://doi.org/10.2139/ssrn.4080050,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-004,doi:10.1007/s13347-023-00605-y,Correction to: The Responsibility Gap and LAWS: a Critical Mapping of the Debate,2023,retain-background,The correction and linked original article map responsibility-gap positions for lethal autonomous weapons; the record informs responsibility attribution but supplies no practical-control evidence test.,correction_notice_and_original_article,https://doi.org/10.1007/s13347-023-00605-y,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-005,title:through a different lens applying contemporary systems analysis methods in road safety|year:2012,Through a different lens: applying contemporary systems analysis methods in road safety,2012,retain-close,"The paper applies AcciMap, Cognitive Work Analysis, and STAMP to a bounded road-rail crash, directly supplying a comparative public-incident reconstruction method.",title_abstract_and_full_text_route,https://pdfs.semanticscholar.org/5964/09d05f32a271dc12204f8ec9ae930eec9648.pdf,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-008,doi:10.1007/s10676-021-09613-y,Psychological consequences of legal responsibility misattribution associated with automated vehicles,2021,retain-background,"The study examines consequences of assigning legal responsibility to the wrong actor in automated-vehicle use, informing the paper's distinction between named responsibility and demonstrated control.",title_and_abstract,https://doi.org/10.1007/s10676-021-09613-y,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-009,doi:10.1097/qmh.0000000000000065,"Development and Validation of the CPO Scale, a New Instrument for Evaluation of Health Care Improvement Efforts",2015,exclude-topic,"The article develops a healthcare-improvement evaluation scale and does not assess human control over automation, incident evidence, or the paper's reconstruction procedure.",title_and_abstract,https://doi.org/10.1097/qmh.0000000000000065,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-010,doi:10.48550/arxiv.2603.16663,When Openclaw Agents Learn from Each Other: Insights from Emergent AI Agent Communities for Human-AI Partnership in Education,2026,exclude-topic,"The paper studies emergent agent communities for educational partnership rather than human authority, intervention effectiveness, or incident evidence.",title_abstract_and_full_text_route,https://doi.org/10.48550/arxiv.2603.16663,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-011,doi:10.1007/s11948-019-00142-y,Exploring Human Values in the Design of a Web-Based QoL-Instrument for People with Mental Health Problems: A Value Sensitive Design Approach,2019,exclude-topic,The value-sensitive design study concerns a mental-health quality-of-life instrument and supplies no automation-control or incident-reconstruction mechanism.,title_and_abstract,https://doi.org/10.1007/s11948-019-00142-y,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-012,title:artificial intelligence on trial who is responsible when systems fail toward a framework for the ultimate ai accountability owner|year:,Artificial Intelligence on Trial: Who Is Responsible When Systems Fail? Toward a Framework for the Ultimate AI Accountability Owner,,retain-background,"The proposed Ultimate AI Accountability Owner assigns final institutional responsibility across the AI lifecycle, providing a formal-authority comparison without testing whether that owner can intervene effectively.",title_abstract_and_full_text_route,https://papers.ssrn.com/sol3/Delivery.cfm/5292184.pdf?abstractid=5292184&mirid=1,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-014,doi:10.1007/s43681-024-00594-4,"Lifecycles, pipelines, and value chains: toward a focus on events in responsible artificial intelligence for health",2024,retain-background,"The embedded health-AI study shifts lifecycle analysis toward decision-shaping events and value conflicts, offering a governance-process mechanism without a practical-control chain.",title_and_abstract,https://doi.org/10.1007/s43681-024-00594-4,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-015,doi:10.3389/frobt.2026.1776097,Robots and AI are not one moral category: why the distinction matters for ethical and conscious systems,2026,exclude-topic,"The article distinguishes robots from AI as moral categories and does not test oversight capacity, incident evidence, or reconstruction decisions.",title_abstract_and_full_text_route,https://doi.org/10.3389/frobt.2026.1776097,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-017,title:aviate navigate communicate silence voice and situation awareness in aviation safety|year:2014,"Aviate, Navigate, Communicate: Silence, Voice and Situation Awareness in Aviation Safety",2014,retain-background,"The aviation dissertation links communication, comprehension, silence, and situation awareness under time pressure, supplying mechanisms for the information and comprehension stages of practical control.",title_and_abstract,https://researchdiscovery.drexel.edu/esploro/outputs/doctoral/Aviate-Navigate-Communicate-Silence-Voice-and/991014632338104721,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-018,doi:10.1080/25741136.2026.2627672,"AI Curriculum for media education: insights from academic adaptability and industry relevance in West Bengal, India",2026,exclude-topic,The study concerns AI curriculum design for media education and supplies no human-control or incident-evidence mechanism.,title_and_abstract,https://doi.org/10.1080/25741136.2026.2627672,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
