sample_id,record_key,title,year,retrieval_outcome,source_locator,review_basis_available,author_decision,author_rationale,decision_owner,decision_status,claim_permission
RS-FC-002,doi:10.2139/ssrn.4080050,Data Justice in Practice: A Guide for Policymakers,2022,full-text-recovered,https://doi.org/10.2139/ssrn.4080050,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-004,doi:10.1007/s13347-023-00605-y,Correction to: The Responsibility Gap and LAWS: a Critical Mapping of the Debate,2023,full-text-recovered,https://doi.org/10.1007/s13347-023-00605-y,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-005,title:through a different lens applying contemporary systems analysis methods in road safety|year:2012,Through a different lens: applying contemporary systems analysis methods in road safety,2012,full-text-recovered,https://pdfs.semanticscholar.org/5964/09d05f32a271dc12204f8ec9ae930eec9648.pdf,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-008,doi:10.1007/s10676-021-09613-y,Psychological consequences of legal responsibility misattribution associated with automated vehicles,2021,abstract-recovered,https://doi.org/10.1007/s10676-021-09613-y,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-009,doi:10.1097/qmh.0000000000000065,"Development and Validation of the CPO Scale, a New Instrument for Evaluation of Health Care Improvement Efforts",2015,abstract-recovered,https://doi.org/10.1097/qmh.0000000000000065,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-010,doi:10.48550/arxiv.2603.16663,When Openclaw Agents Learn from Each Other: Insights from Emergent AI Agent Communities for Human-AI Partnership in Education,2026,full-text-recovered,https://doi.org/10.48550/arxiv.2603.16663,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-011,doi:10.1007/s11948-019-00142-y,Exploring Human Values in the Design of a Web-Based QoL-Instrument for People with Mental Health Problems: A Value Sensitive Design Approach,2019,abstract-recovered,https://doi.org/10.1007/s11948-019-00142-y,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-012,title:artificial intelligence on trial who is responsible when systems fail toward a framework for the ultimate ai accountability owner|year:,Artificial Intelligence on Trial: Who Is Responsible When Systems Fail? Toward a Framework for the Ultimate AI Accountability Owner,,full-text-recovered,https://papers.ssrn.com/sol3/Delivery.cfm/5292184.pdf?abstractid=5292184&mirid=1,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-014,doi:10.1007/s43681-024-00594-4,"Lifecycles, pipelines, and value chains: toward a focus on events in responsible artificial intelligence for health",2024,abstract-recovered,https://doi.org/10.1007/s43681-024-00594-4,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-015,doi:10.3389/frobt.2026.1776097,Robots and AI are not one moral category: why the distinction matters for ethical and conscious systems,2026,full-text-recovered,https://doi.org/10.3389/frobt.2026.1776097,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-017,title:aviate navigate communicate silence voice and situation awareness in aviation safety|year:2014,"Aviate, Navigate, Communicate: Silence, Voice and Situation Awareness in Aviation Safety",2014,abstract-recovered,https://researchdiscovery.drexel.edu/esploro/outputs/doctoral/Aviate-Navigate-Communicate-Silence-Voice-and/991014632338104721,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-018,doi:10.1080/25741136.2026.2627672,"AI Curriculum for media education: insights from academic adaptability and industry relevance in West Bengal, India",2026,abstract-recovered,https://doi.org/10.1080/25741136.2026.2627672,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
