record_key,proposed_decision,author_decision,author_notes,review_basis,source_locator,decision_owner,decision_date,ai_assistance
doi:10.1080/1463922x.2019.1697390,exclude-single-component,retain-close,Operationalizes a chain of control and traceability for meaningful human control across four automated-driving examples.,title_and_abstract,https://doi.org/10.1080/1463922x.2019.1697390,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1111/ner.12949,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.1111/ner.12949,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1088/1742-6596/1357/1/012012,exclude-single-component,retain-background,"Supplies autonomous-transport risk, meaningful-control, certification, and incident-learning context without the tested reconstruction path.",title_and_abstract,https://doi.org/10.1088/1742-6596/1357/1/012012,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1080/13523260.2019.1576464,exclude-single-component,retain-background,Argues that military-AI normal accidents can defeat meaningful-control assurances without supplying a case-evidence procedure.,title_and_abstract,https://doi.org/10.1080/13523260.2019.1576464,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1177/00207020231163064,exclude-single-component,exclude-single-component,"Title and abstract address one relevant control or evidence component without the tested selection, packet, adjudication, and correction path.",title_and_abstract,https://doi.org/10.1177/00207020231163064,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1007/s11023-022-09608-8,exclude-single-component,retain-close,"Joins tracking, tracing, an evaluation cascade, and engineering use cases for meaningful human control.",title_and_abstract,https://doi.org/10.1007/s11023-022-09608-8,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.4043/32185-ms,exclude-single-component,retain-close,"Applies a GSN assurance case to human control across manual, supervised, and autonomous recovery cases.",title_and_abstract,https://doi.org/10.4043/32185-ms,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.3390/su15086926,exclude-single-component,exclude-single-component,"Title and abstract address one relevant control or evidence component without the tested selection, packet, adjudication, and correction path.",title_and_abstract,https://doi.org/10.3390/su15086926,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.63282/3050-9416.ijaibdcms-v5i3p117,exclude-single-component,exclude-single-component,"Title and abstract address one relevant control or evidence component without the tested selection, packet, adjudication, and correction path.",title_and_abstract,https://doi.org/10.63282/3050-9416.ijaibdcms-v5i3p117,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1007/s43681-024-00592-6,exclude-single-component,exclude-single-component,"Title and abstract address one relevant control or evidence component without the tested selection, packet, adjudication, and correction path.",title_and_abstract,https://doi.org/10.1007/s43681-024-00592-6,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.48175/ijarsct-22820,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.48175/ijarsct-22820,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.3389/frobt.2024.1323980,exclude-single-component,retain-background,Proposes measurable meaningful-control indicators for firefighting teams without versioned public incident packets.,title_and_abstract,https://doi.org/10.3389/frobt.2024.1323980,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1145/3770749,exclude-single-component,exclude-single-component,"Title and abstract address one relevant control or evidence component without the tested selection, packet, adjudication, and correction path.",title_and_abstract,https://doi.org/10.1145/3770749,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.2118/229256-ms,exclude-single-component,retain-close,"Combines workflow audit, forensic reconstruction, decision-state logging, and override documentation in AI-enabled cybersecurity.",title_and_abstract,https://doi.org/10.2118/229256-ms,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1108/raf-01-2025-0006,exclude-single-component,retain-background,Supplies evidence about bias-audit standardization and access limits without a practical-control chain.,title_and_abstract,https://doi.org/10.1108/raf-01-2025-0006,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.5204/lthj.4081,exclude-single-component,retain-background,Identifies nominal-oversight loopholes and contestability duties in South African automated-decision law.,title_and_abstract,https://doi.org/10.5204/lthj.4081,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1177/20539517251351320,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.1177/20539517251351320,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1145/3766895,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.1145/3766895,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1111/jnu.70048,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.1111/jnu.70048,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1145/3702653.3744332,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.1145/3702653.3744332,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.48550/arxiv.2511.06262,exclude-single-component,retain-close,"Specifies authorization boundaries, escalation, auditability, and a validation plan for delegated LLM action.",title_and_abstract,https://doi.org/10.48550/arxiv.2511.06262,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.59982/18294359-25.2-hc-18,exclude-single-component,retain-background,Synthesizes explanation and interface conditions that support human reasoning without reconstructing control in incidents.,title_and_abstract,https://doi.org/10.59982/18294359-25.2-hc-18,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.3390/electronics14224411,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.3390/electronics14224411,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.34190/eccws.24.1.3314,exclude-single-component,retain-background,Proposes safety controls and meaningful oversight for autonomous weapons without the paper's evidence adjudication method.,title_and_abstract,https://doi.org/10.34190/eccws.24.1.3314,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.23939/ujmems2025.04.001,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.23939/ujmems2025.04.001,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1109/snpd65828.2025.11252932,exclude-single-component,retain-background,Identifies interface conditions for supervisory control and calibrated trust without a public-evidence procedure.,title_and_abstract,https://doi.org/10.1109/snpd65828.2025.11252932,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.48550/arxiv.2512.10304,exclude-single-component,retain-close,"Joins human control, audit, provenance, and control-plane governance in one proposed assurance architecture.",title_and_abstract,https://doi.org/10.48550/arxiv.2512.10304,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.36713/epra27861,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.36713/epra27861,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.2118/230731-ms,exclude-single-component,retain-background,Specifies role-dependent information and intervention constraints in drilling automation.,title_and_abstract,https://doi.org/10.2118/230731-ms,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.48550/arxiv.2606.09414,exclude-single-component,retain-background,"Identifies evidence, human-interaction, operational-domain, and systems-assurance gaps in UK Defence guidance.",title_and_abstract,https://doi.org/10.48550/arxiv.2606.09414,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.54941/ahfe1007175,exclude-single-component,retain-background,"Provides a testbed and pilot measures for variable autonomy, workload, trust, authority, and situation awareness.",title_and_abstract,https://doi.org/10.54941/ahfe1007175,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.14569/ijacsa.2026.0170502,exclude-single-component,retain-close,Applies action-level oversight tiers to AI Incident Database records and reports independent-annotation agreement.,official_full_text,https://doi.org/10.14569/ijacsa.2026.0170502,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.3390/laws15040060,exclude-single-component,retain-background,"Connects explainability, traceability, override authority, auditability, and contestation in tax administration.",title_and_abstract,https://doi.org/10.3390/laws15040060,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1007/s12672-026-05573-1,exclude-single-component,exclude-single-component,"Title and abstract address one relevant control or evidence component without the tested selection, packet, adjudication, and correction path.",title_and_abstract,https://doi.org/10.1007/s12672-026-05573-1,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.5603/cj.111624,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.5603/cj.111624,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1055/a-2793-9092,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.1055/a-2793-9092,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.52783/jisem.v11i3s.14705,exclude-single-component,retain-background,"Proposes interpretive checkpoints, attention pacing, escalation, override, and decision traceability.",title_and_abstract,https://doi.org/10.52783/jisem.v11i3s.14705,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1145/3805689.3812223,exclude-single-component,retain-close,Translates human-oversight duties into audit criteria for a real embodied-AI deployment.,title_and_abstract,https://doi.org/10.1145/3805689.3812223,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.48550/arxiv.2605.16354,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.48550/arxiv.2605.16354,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.48550/arxiv.2601.03287,exclude-single-component,retain-close,"Joins post-incident evidence mapping, traceable policy review, and human oversight in one executable workflow proposal.",title_and_abstract,https://doi.org/10.48550/arxiv.2601.03287,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1186/s12910-026-01493-5,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.1186/s12910-026-01493-5,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.63550/iceip.2026.55.89.005,exclude-single-component,retain-background,"Proposes effective oversight, documentation, monitoring, and impact assessment for automated child-welfare decisions.",title_and_abstract,https://doi.org/10.63550/iceip.2026.55.89.005,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.33327/ajee-18-9.1-a000182,exclude-single-component,retain-background,Examines human control and evidentiary reliability in nuclear-disarmament verification through doctrinal analysis.,title_and_abstract,https://doi.org/10.33327/ajee-18-9.1-a000182,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.3390/healthcare14121638,exclude-single-component,retain-background,Defines five normative conditions for meaningful human control in AI-assisted medicine.,title_and_abstract,https://doi.org/10.3390/healthcare14121638,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
