record_key,proposed_decision,author_decision,author_notes,title,year,doi,arxiv,venue,origins,proposal_reason
doi:10.1080/1463922x.2019.1697390,exclude-single-component,,,A human centric framework for the analysis of automated driving systems based on meaningful human control,2019,10.1080/1463922x.2019.1697390,,Theoretical Issues in Ergonomics Science,citation:L01; reference:L02; reference:L04,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['traceability']"
doi:10.1111/ner.12949,exclude-single-component,,,Enhancing WIKISTIM.org Using Machine Learning Approaches,2019,10.1111/ner.12949,,"Neuromodulation (Malden, Mass.)",query:F08,"term overlap requires author check; control=['human oversight'], evidence=['evidence']"
doi:10.1088/1742-6596/1357/1/012012,exclude-single-component,,,Experiences of main risks and mitigation in autonomous transport systems,2019,10.1088/1742-6596/1357/1/012012,,"Journal of Physics, Conference Series",citation:L16; query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['incident']"
doi:10.1080/13523260.2019.1576464,exclude-single-component,,,How viable is international arms control for military artificial intelligence? Three lessons from nuclear weapons,2019,10.1080/13523260.2019.1576464,,Contemporary Security Policy,query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['assurance']"
doi:10.1177/00207020231163064,exclude-single-component,,,Book Review: Autonomous Weapons Systems and International Norms,2022,10.1177/00207020231163064,,International Journal,query:F08,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['indeterminate']"
doi:10.1007/s11023-022-09608-8,exclude-single-component,,,Realising Meaningful Human Control Over Automated Driving Systems: A Multidisciplinary Approach,2022,10.1007/s11023-022-09608-8,,Minds and Machines,citation:L01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['traceability']"
doi:10.4043/32185-ms,exclude-single-component,,,Building the Assurance Case for Recovery of Autonomous Underwater Vehicles from Offshore Platforms,2023,10.4043/32185-ms,,"Day 3 Wed, May 03, 2023",query:F01; query:F06,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['assurance']"
doi:10.3390/su15086926,exclude-single-component,,,Conceptual Model of Key Aspects of Security and Privacy Protection in a Smart City in Slovakia,2023,10.3390/su15086926,,Sustainability,query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['evidence']"
doi:10.63282/3050-9416.ijaibdcms-v5i3p117,exclude-single-component,,,A Self-Healing Generative AI Framework for Regulated Decision Workflows: A Healthcare Claims Case Study,2024,10.63282/3050-9416.ijaibdcms-v5i3p117,,"International Journal of AI, BigData, Computational and Management Studies",query:F08,"term overlap requires author check; control=['human oversight'], evidence=['audit']"
doi:10.1007/s43681-024-00592-6,exclude-single-component,,,Addressing ethical challenges in automated vehicles: bridging the gap with hybrid AI and augmented utilitarianism,2024,10.1007/s43681-024-00592-6,,AI and Ethics,citation:L01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['incident']"
doi:10.48175/ijarsct-22820,exclude-single-component,,,An Intelligent Approach to Data Quality Management AI-Powered Quality Monitoring in Analytics,2024,10.48175/ijarsct-22820,,"International Journal of Advanced Research in Science, Communication and Technology",query:F08,"term overlap requires author check; control=['human oversight'], evidence=['assurance']"
doi:10.3389/frobt.2024.1323980,exclude-single-component,,,Meaningful human control and variable autonomy in human-robot teams for firefighting,2024,10.3389/frobt.2024.1323980,,Frontiers Robotics AI,citation:L01; citation:L02; query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['traceability']"
doi:10.1145/3770749,exclude-single-component,,,AI Alignment: A Contemporary Survey,2025,10.1145/3770749,,ACM Computing Surveys,query:F02,"term overlap requires author check; control=['human oversight'], evidence=['assurance', 'evidence']"
doi:10.2118/229256-ms,exclude-single-component,,,"AI Failures, Hidden Vulnerabilities, and Forensic Oversight in Energy Cybersecurity",2025,10.2118/229256-ms,,ADIPEC,query:F03,"term overlap requires author check; control=['human oversight'], evidence=['audit', 'incident', 'reconstruction']"
doi:10.1108/raf-01-2025-0006,exclude-single-component,,,"Artificial intelligence bias auditing – current approaches, challenges and lessons from practice",2025,10.1108/raf-01-2025-0006,,Review of Accounting and Finance,citation:L27,"term overlap requires author check; control=['human oversight'], evidence=['audit']"
doi:10.5204/lthj.4081,exclude-single-component,,,Automated Decision-Making and the Right to an Explanation Under POPIA in South Africa: A Legal Perspective,2025,10.5204/lthj.4081,,"Law, Technology and Humans",citation:L10,"term overlap requires author check; control=['human oversight'], evidence=['audit']"
doi:10.1177/20539517251351320,exclude-single-component,,,"Better pay, clearer guidance: Investing in the working conditions of artificial intelligence data workers",2025,10.1177/20539517251351320,,Big Data & Society,citation:L10; query:F02,"term overlap requires author check; control=['human oversight'], evidence=['evidence']"
doi:10.1145/3766895,exclude-single-component,,,Can LLMs Hack Enterprise Networks? Autonomous Assumed Breach Penetration-Testing Active Directory Networks,2025,10.1145/3766895,2502.04227,ACM Transactions on Software Engineering and Methodology,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['audit']"
doi:10.1111/jnu.70048,exclude-single-component,,,ChatGPT-4 in Nursing Research: A Methodological Evaluation of Bias Risk in Randomized Controlled Trials.,2025,10.1111/jnu.70048,,Journal of Nursing Scholarship,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['evidence']"
doi:10.1145/3702653.3744332,exclude-single-component,,,Evaluating AI-Generated Distractors in Programming Education: A Human-AI Collaborative Approach,2025,10.1145/3702653.3744332,,International Computing Education Research Workshop,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['evidence']"
doi:10.48550/arxiv.2511.06262,exclude-single-component,,,GAIA: A General Agency Interaction Architecture for LLM-Human B2B Negotiation & Screening,2025,10.48550/arxiv.2511.06262,2511.06262,arXiv.org,query:F02,"term overlap requires author check; control=['human oversight'], evidence=['audit']"
doi:10.59982/18294359-25.2-hc-18,exclude-single-component,,,HUMAN-CENTERED AI AND EXPLAINABLE DECISION SUPPORT,2025,10.59982/18294359-25.2-hc-18,,"""EUROPEAN UNIVERSITY""  SCIENTIFIC COLLECTION OF ARTICLES",query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['evidence']"
doi:10.3390/electronics14224411,exclude-single-component,,,"Large Language Models as Coders of Pragmatic Competence in Healthy Aging: Preliminary Results on Reliability, Limits, and Implications for Human-Centered AI",2025,10.3390/electronics14224411,,Electronics,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['audit']"
doi:10.34190/eccws.24.1.3314,exclude-single-component,,,Risks and Control Measures for Assuring the Safety of Trustworthy Autonomous Weapon Systems,2025,10.34190/eccws.24.1.3314,,European Conference on Cyber Warfare and Security,query:F01; query:F02,"term overlap requires author check; control=['human control', 'human oversight', 'meaningful human control'], evidence=['evidence']"
doi:10.23939/ujmems2025.04.001,exclude-single-component,,,THE STATE OF THE ART IN GROUND ROBOTIC COMPLEXES FOR AUTOMATIC FIRE SUPPRESSION: A COMPREHENSIVE REVIEW,2025,10.23939/ujmems2025.04.001,,Ukrainian Journal of Mechanical Engineering and Materials Science,query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['incident']"
doi:10.1109/snpd65828.2025.11252932,exclude-single-component,,,Towards Designing User Interfaces for Optimized Human-AI Communication and Supervisory Control in Software Engineering,2025,10.1109/snpd65828.2025.11252932,,"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",citation:L02; query:F02,"term overlap requires author check; control=['human control', 'human oversight'], evidence=['evidence']"
doi:10.48550/arxiv.2512.10304,exclude-single-component,,,Trustworthy Orchestration Artificial Intelligence by the Ten Criteria with Control-Plane Governance,2025,10.48550/arxiv.2512.10304,2512.10304,arXiv.org,query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['assurance', 'audit', 'provenance']"
