sample_id,record_key,verified_citation,review_basis,stable_locator,passage_locator,permitted_proposition,review_decision,claim_permission,directness,contemporaneity,independence,completeness,publication_authority,limitation,reversal_condition,decision_owner,decision_date,ai_assistance
RS-FC-005,title:through a different lens applying contemporary systems analysis methods in road safety|year:2012,"Salmon et al. (2012), Through a different lens",inspectable_conference_presentation,https://pdfs.semanticscholar.org/5964/09d05f32a271dc12204f8ec9ae930eec9648.pdf,"pp. 15-18","The presentation applies AcciMap, Work Domain Analysis, and STAMP to a road-rail crash and reports that method choice and available data shape reconstruction.",background-only,background-only,pass,outside_scope,outside_scope,pass,pass,"Conference presentation; one crash; no validation against event truth; not used for a material manuscript proposition.","A verified publication record or closer method source changes the role assigned to this record.",Mark Julius Banasihan,2026-08-13,"AI inspected the source and proposed the bounded decision; Mark Julius Banasihan authorized the recorded decision and retains accountability."
RS-FC-020,doi:10.1007/s10111-007-0104-x,"Nuutinen and Norros (2009), Core task analysis in accident investigation",publisher_abstract_only,https://doi.org/10.1007/s10111-007-0104-x,abstract,"The abstract describes case-by-case and comparative analysis of maritime accidents.",quarantined,none,pass,outside_scope,outside_scope,indeterminate,pass,"The checked channel did not expose methods, results, or limitations beyond the abstract.","Inspectable full text and exact proposition locators become available.",Mark Julius Banasihan,2026-08-13,"AI inspected the accessible abstract and proposed quarantine; Mark Julius Banasihan authorized the recorded decision and retains accountability."
RS-FC-036,doi:10.1080/00140139.2010.489966,"Salmon et al. (2010), Systems-based accident analysis in the led outdoor activity domain",publisher_abstract_only,https://doi.org/10.1080/00140139.2010.489966,abstract,"The abstract describes application and evaluation of a systems accident-analysis framework.",quarantined,none,pass,outside_scope,outside_scope,indeterminate,pass,"A related public report is not the exact journal article; the exact full text was not inspected.","Inspectable exact-article text and stable passage locators become available.",Mark Julius Banasihan,2026-08-13,"AI separated the related report from the exact article and proposed quarantine; Mark Julius Banasihan authorized the recorded decision and retains accountability."
RS-FC-042,doi:10.48550/arxiv.2402.08080,"Suryana et al. (2024), User Perception of Partially Automated Driving Systems",inspectable_author_preprint,https://arxiv.org/pdf/2402.08080,"pp. 5-6","In a secondary analysis of 99 Tesla-user interviews, perceived safety sometimes coexisted with failures to track driver reasons, while takeover readiness and prior reliable experience shaped perception.",manuscript-use,proposition-permitted,pass,pass,outside_scope,pass,pass,"Secondary interview analysis of user perceptions in partial driving automation; no observed incident-control outcome or validation of this paper's categories.","The inspected passages, sample description, or reported relationship changes.",Mark Julius Banasihan,2026-08-13,"AI inspected the preprint and proposed the bounded proposition; Mark Julius Banasihan authorized the recorded decision and retains accountability."
RS-FC-047,doi:10.1080/15265161.2026.2690941,"Kiener (2026), Many Hands, But Who Is In Control?",unreadable_full_text_route,https://doi.org/10.1080/15265161.2026.2690941,none,"No proposition permitted.",quarantined,none,indeterminate,outside_scope,outside_scope,indeterminate,pass,"The exact article was not readable in the checked channels.","Inspectable exact-article text and stable passage locators become available.",Mark Julius Banasihan,2026-08-13,"AI checked public routes and proposed quarantine; Mark Julius Banasihan authorized the recorded decision and retains accountability."
RS-FC-051,doi:10.1007/s43681-026-01167-3,"Nama (2026), From evaluator to principal",publisher_abstract_only,https://doi.org/10.1007/s43681-026-01167-3,abstract,"The abstract presents an agentic-AI literacy framework for delegated autonomy.",quarantined,none,pass,pass,outside_scope,indeterminate,pass,"Only the abstract was inspectable; the repository's earlier author attribution was incorrect.","Inspectable full text and proposition-level locators become available.",Mark Julius Banasihan,2026-08-13,"AI verified the author and abstract and proposed quarantine; Mark Julius Banasihan authorized the recorded decision and retains accountability."
RS-FC-052,doi:10.1109/cai64502.2025.00121,"Li et al. (2025), Human Oversight over Autonomous Task Execution in Sandbox Environments",inspectable_author_upload,https://www.researchgate.net/publication/393408676_Human_Oversight_over_Autonomous_Task_Execution_in_Sandbox_Environments,"pp. 663-668, Results and Discussion","In a 28-participant sandbox study, direct manipulation had a higher task-completion rate than text guidance, 83.3 percent versus 61.9 percent, while delayed or ineffective feedback made intervention effects harder for participants to assess.",manuscript-use,proposition-permitted,pass,pass,outside_scope,pass,pass,"Small sample; limited tasks; one qualitative coder; one model and sandbox; no historical-incident or institutional validation.","The inspected results, denominators, or reported limitations change.",Mark Julius Banasihan,2026-08-13,"AI inspected the author-uploaded text and proposed the bounded proposition; Mark Julius Banasihan authorized the recorded decision and retains accountability."
RS-FC-060,doi:10.1007/978-3-030-49183-3_16,"van der Waa et al. (2020), Allocation of Moral Decision-Making in Human-Agent Teams",inspectable_repository_copy,https://repository.tudelft.nl/record/uuid:17200412-df59-4104-a8fe-e6bbc9216d11,"pp. 204, 210-215","The proposed team-design patterns make allocation timing, sufficient understanding, halt or resume capability, and handover conditions part of human-agent decision control.",manuscript-use,proposition-permitted,pass,pass,outside_scope,pass,pass,"Conceptual design patterns illustrated with scenarios; no field validation or estimate of practical-control performance.","The inspected pattern requirements or source version changes.",Mark Julius Banasihan,2026-08-13,"AI inspected the repository copy and proposed the bounded proposition; Mark Julius Banasihan authorized the recorded decision and retains accountability."
RS-FC-061,title:working towards a meaningful transition of human control over automated driving systems|year:2018,"Heikoop and Hagenzieker (2018), Working towards a Meaningful Transition of Human Control",inspectable_repository_copy,https://repository.tudelft.nl/file/File_a30c8388-7bbc-45e3-bb15-56a93280d191?preview=1,"Abstract and framework discussion","The literature-based framework links partial automation to out-of-loop performance, mode confusion, behavioral adaptation, and transition-of-control demands.",background-only,background-only,pass,pass,outside_scope,pass,pass,"Literature-based framework without incident reconstruction or independent validation of this paper's categories.","A closer empirical source changes its role or the inspected framework changes.",Mark Julius Banasihan,2026-08-13,"AI inspected the repository copy and proposed background use; Mark Julius Banasihan authorized the recorded decision and retains accountability."
RS-FC-070,doi:10.2139/ssrn.4772956,"Kolt (2025), Governing AI Agents",inspectable_author_preprint,https://arxiv.org/pdf/2501.07913,"pp. 16-17, 32-34, 40-41","Monitoring and detailed records can reduce information asymmetry and support intervention, yet oversight may remain ineffective when agent action is too fast, opaque, or difficult to reverse.",manuscript-use,proposition-permitted,pass,pass,outside_scope,pass,pass,"Legal and theoretical analysis; no field test of monitoring or record-preservation effects.","The inspected analysis or cited preprint version changes materially.",Mark Julius Banasihan,2026-08-13,"AI inspected the preprint and proposed the bounded proposition; Mark Julius Banasihan authorized the recorded decision and retains accountability."
