record_key,title,source_locator,screening_review_basis,verification_state,full_text_locator,verification_notes,reviewer,review_date,ai_assistance,full_text_gate_pass
doi:10.1080/1463922x.2019.1697390,A human centric framework for the analysis of automated driving systems based on meaningful human control,https://doi.org/10.1080/1463922x.2019.1697390,title_and_abstract,abstract-only-not-used,,Public publisher repository DOI and exact-title checks did not yield inspectable full text; the Harvard library route was unavailable in the research environment and the source is quarantined beyond its abstract.,Mark Julius Banasihan,2026-08-11,AI-assisted public retrieval and access-boundary inspection; Mark Julius Banasihan retains decision accountability.,false
doi:10.1007/s11023-022-09608-8,Realising Meaningful Human Control Over Automated Driving Systems: A Multidisciplinary Approach,https://doi.org/10.1007/s11023-022-09608-8,title_and_abstract,verified,https://repository.tudelft.nl/file/File_919b48c1-6abd-4314-9ce3-b629b475d3d4,Full text operationalizes tracking and tracing through a reasons scale and evaluation cascade; applications rely mainly on desk research and simulations with limited field and institutional evidence.,Mark Julius Banasihan,2026-08-11,AI-assisted public full-text retrieval and source-bounded inspection; Mark Julius Banasihan retains decision accountability.,true
doi:10.4043/32185-ms,Building the Assurance Case for Recovery of Autonomous Underwater Vehicles from Offshore Platforms,https://doi.org/10.4043/32185-ms,title_and_abstract,abstract-only-not-used,,OnePetro provided a structured abstract and offered the paper for purchase; public DOI repository exact-title and library checks did not yield inspectable full text and the source is quarantined beyond its abstract.,Mark Julius Banasihan,2026-08-11,AI-assisted public retrieval and access-boundary inspection; Mark Julius Banasihan retains decision accountability.,false
doi:10.2118/229256-ms,"AI Failures, Hidden Vulnerabilities, and Forensic Oversight in Energy Cybersecurity",https://doi.org/10.2118/229256-ms,title_and_abstract,abstract-only-not-used,,OnePetro provided a structured abstract and offered the paper for purchase; public DOI repository exact-title and library checks did not yield inspectable full text and the source is quarantined beyond its abstract.,Mark Julius Banasihan,2026-08-11,AI-assisted public retrieval and access-boundary inspection; Mark Julius Banasihan retains decision accountability.,false
doi:10.48550/arxiv.2511.06262,GAIA: A General Agency Interaction Architecture for LLM-Human B2B Negotiation & Screening,https://doi.org/10.48550/arxiv.2511.06262,title_and_abstract,verified,https://arxiv.org/pdf/2511.06262,Full text presents a theory-first protocol with authorization boundaries and four safety invariants; it reports no effect sizes or external-validity study.,Mark Julius Banasihan,2026-08-11,AI-assisted public full-text retrieval and source-bounded inspection; Mark Julius Banasihan retains decision accountability.,true
doi:10.48550/arxiv.2512.10304,Trustworthy Orchestration Artificial Intelligence by the Ten Criteria with Control-Plane Governance,https://doi.org/10.48550/arxiv.2512.10304,title_and_abstract,verified,https://arxiv.org/pdf/2512.10304,Full text specifies a control-plane architecture and ten criteria; empirical validation and formal proof remain future work.,Mark Julius Banasihan,2026-08-11,AI-assisted public full-text retrieval and source-bounded inspection; Mark Julius Banasihan retains decision accountability.,true
doi:10.14569/ijacsa.2026.0170502,Agentic Accountability: “The Buck Stops Where?” Ethical Frameworks for Human Oversight of Autonomous AI Systems,https://doi.org/10.14569/ijacsa.2026.0170502,official_full_text,verified,https://doi.org/10.14569/ijacsa.2026.0170502,Full text was recorded as inspected during v0.9 author screening; support remains proposition-specific.,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability,true
doi:10.1145/3805689.3812223,Auditing a Robotic System for the AI Act,https://doi.org/10.1145/3805689.3812223,title_and_abstract,verified,https://dl.acm.org/doi/epdf/10.1145/3805689.3812223,Full text applies an AI Act audit framework to hospital ventilation-cleaning robots; the case exposes policy opacity distributed responsibility and a gap between simulation evidence and real-world safety.,Mark Julius Banasihan,2026-08-11,AI-assisted authenticated full-text retrieval and source-bounded inspection; Mark Julius Banasihan retains decision accountability.,true
doi:10.48550/arxiv.2601.03287,Automated Post-Incident Policy Gap Analysis via Threat-Informed Evidence Mapping using Large Language Models,https://doi.org/10.48550/arxiv.2601.03287,title_and_abstract,verified,https://arxiv.org/pdf/2601.03287,Full text reports a single simulated brute-force incident and evidence-to-policy traceability; it provides no multi-model benchmark or quantitative performance estimate.,Mark Julius Banasihan,2026-08-11,AI-assisted public full-text retrieval and source-bounded inspection; Mark Julius Banasihan retains decision accountability.,true
doi:10.47760/oajmr.2026.v02i07.003,Beyond Human Oversight: Cognitive Sovereignty in Global Governance Frameworks for Agentic Artificial Intelligence,https://doi.org/10.47760/oajmr.2026.v02i07.003,title_and_abstract,inaccessible,,The DOI exact title and journal archive did not resolve to a stable article or inspectable manuscript; the Harvard library route was unavailable in the research environment.,Mark Julius Banasihan,2026-08-11,AI-assisted public retrieval and access-boundary inspection; Mark Julius Banasihan retains decision accountability.,false
doi:10.48550/arxiv.2606.21276,"CEDAR-42001: From ISO/IEC 42001 Conformity to Architecture-Aware, Audit-Visible Assurance Posture for AI Cyber-Physical Systems",https://doi.org/10.48550/arxiv.2606.21276,title_and_abstract,verified,https://arxiv.org/pdf/2606.21276,Full text reports a deterministic method on a synthetic fixture and retrospective Cruise record; it does not establish inter-assessor reliability or technical system assurance.,Mark Julius Banasihan,2026-08-11,AI-assisted public full-text retrieval and source-bounded inspection; Mark Julius Banasihan retains decision accountability.,true
doi:10.1609/aaaiss.v8i1.42543,Conflict as Telemetry for Illegible AI: Governing LLM Agent Workflows (Extended Abstract),https://doi.org/10.1609/aaaiss.v8i1.42543,official_full_text,verified,https://doi.org/10.1609/aaaiss.v8i1.42543,Full text was recorded as inspected during v0.9 author screening; support remains proposition-specific.,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability,true
doi:10.52710/cfs.1036,Human-Governed Automation Loops: Embedding Human Authority in AI System Architecture,https://doi.org/10.52710/cfs.1036,title_and_abstract,verified,https://computerfraudsecurity.com/index.php/journal/article/view/1036/744,Full text specifies a runtime governance architecture with delegation boundaries policy escalation override and audit components; its claims are architectural and should not be treated as deployment-effect evidence.,Mark Julius Banasihan,2026-08-11,AI-assisted public full-text retrieval and source-bounded inspection; Mark Julius Banasihan retains decision accountability.,true
doi:10.3390/automation7030096,Rights-Based AI in Cyber–Physical Systems: A Governance Framework for Socio-Technical Resilience and Trust,https://doi.org/10.3390/automation7030096,publisher_full_text,verified,https://doi.org/10.3390/automation7030096,Full text was recorded as inspected during v0.9 author screening; support remains proposition-specific.,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability,true
doi:10.54941/ahfe1008078,To boldly go where AI must not go alone: Designing for non-delegable human authority in AI-assisted expert work,https://doi.org/10.54941/ahfe1008078,title_and_abstract,inaccessible,,The DOI exact title and proceedings checks yielded an upcoming 26 August 2026 conference listing without an inspectable manuscript; the Harvard library route was unavailable in the research environment.,Mark Julius Banasihan,2026-08-11,AI-assisted public retrieval and access-boundary inspection; Mark Julius Banasihan retains decision accountability.,false
doi:10.1109/tase.2020.2965466,The Responsibility Quantification Model of Human Interaction With Automation,https://doi.org/10.1109/tase.2020.2965466,title_and_abstract,verified,https://arxiv.org/pdf/1810.12644,Full text develops an information-theoretic model and applies it to autonomous-weapon configurations; it assumes stationarity and full knowledge of human and automation characteristics and omits temporal effects.,Mark Julius Banasihan,2026-08-11,AI-assisted public full-text retrieval and source-bounded inspection; Mark Julius Banasihan retains decision accountability.,true
doi:10.1145/3322640.3326699,Human intervention in automated decision-making: Toward the construction of contestable systems,https://doi.org/10.1145/3322640.3326699,title_and_abstract,verified,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3379394_code3169617.pdf?abstractid=3264189&mirid=1,Full text develops a legal and design argument for lifecycle-wide contestability; it does not empirically test whether the proposed channels improve decisions or redress.,Mark Julius Banasihan,2026-08-11,AI-assisted public full-text retrieval and source-bounded inspection; Mark Julius Banasihan retains decision accountability.,true
doi:10.1007/s11023-020-09532-9,Accountability and Control Over Autonomous Weapon Systems: A Framework for Comprehensive Human Oversight,https://doi.org/10.1007/s11023-020-09532-9,open_full_text,verified,https://doi.org/10.1007/s11023-020-09532-9,Full text was recorded as inspected during v0.9 author screening; support remains proposition-specific.,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability,true
